id,layer,cultural_layer_en,cultural_layer_zh,head_direction,body_position_en,body_position_zh,limb_position_en,limb_position_zh,arm_position_en,arm_position_zh,sex_en,sex_zh,age_en,age_zh,pathology_en,pathology_zh,notes_en,notes_zh,source_group,source_report_pages
M24,L3c,Upper cultural layer,上文化層,E10°S,Prone,俯身,Extended,直肢,Both hands on abdomen,雙手置腹部,Undetermined,不詳,30-39 years,30~39歲,"Cervical vertebral osteophytes; nodules on L5 and finger joint surfaces; heavy dental calculus, alveolar abscesses, and some caries; slight patellar osteophytes.",頸椎椎體有骨質增生; 腰椎第五節、指關節面 有結節; 牙齒多附著牙結石，且 有齒槽膿瘍與部分齲齒 的狀況;髕骨輕微骨刺,,,2020_curation_project,120-129
M26,L3b,Upper cultural layer,上文化層,E50°S,Prone,俯身,Extended,直肢,Both hands behind the back,雙手後揹,Male,男性,33-45 years,33~45歲,Severe dental wear and severe caries.,"牙齒嚴重磨耗, 嚴重齲 齒",,,2020_curation_project,130-138
M27,L3b,Upper cultural layer,上文化層,E20°S,Prone,俯身,Extended,直肢,Both arms flexed over the chest,雙手屈於胸前,Undetermined,不詳,Adult,成年,Heavy calculus on incisors and canines; linear enamel hypoplasia.,門齒、犬齒皆有嚴重的牙結石附 著; 線性琺瑯質發育不全,,,2020_curation_project,139-145
M28,L3b,Upper cultural layer,上文化層,E34°S,Prone,俯身,Extended,直肢,Both hands behind the back,雙手後揹,Probable male,疑似男性,Older adult,年齡偏大,Linear wear marks on the incisors; frequent alveolar abscesses and calculus. The rim of the fovea capitis is slightly raised and sharp but does not reach the reported threshold for arthritis. Bone proliferation occurs on the distal right humeral trochlea and proximal left ulnar articular surface. Cervical vertebral bodies show nodules and marginal bone proliferation.,門齒皆有線狀磨耗痕 跡; 齒槽膿瘍、牙結石 發生頻率高; 股骨頭中心凹（fovea capitis）邊緣略凸出且 鋒利，然嚴重程度尚未 達到關節炎。右肱骨遠 端滑車面、左尺骨近端 關節面有骨質增生。頸 椎椎體有結節，邊緣骨 質增生,,,2020_curation_project,146-155
M30,L3c,Upper cultural layer,上文化層,E30°S,Prone,俯身,Extended,直肢,Both hands behind the pelvis,雙手揹於骨盆,Female,女性,40-44 years,40-44歲,Osteophytes and enamel hypoplasia.,骨贅與琺瑯 質發展不全,,,prior_curation,4
M31,L3c,Upper cultural layer,上文化層,E10°S,Prone,俯身,Extended,直肢,Both hands on abdomen,雙手置於腹部,Probable female,疑似女性,30-38 years,30~38歲,"Dental calculus, rolled alveolar margins, malocclusion, slight porotic hyperostosis, and incomplete sagittal suture closure.",牙結石，齒槽捲緣，齒列不正，輕 微多孔性骨肥厚，矢狀縫縫癒合 不。,,,2020_curation_project,156-169
M32,L3c,Upper cultural layer,上文化層,E30°S,Supine,仰身,Extended,直肢,Both arms flexed over the chest,雙手屈於胸前,Indeterminate,無法判斷,1-2 years,1~2歲,No obvious pathological changes.,無明顯病理現象,,,2020_curation_project,170-176
M33,L3e,Lower cultural layer,下文化層,E40°S,Prone,俯身,Extended,直肢,雙手平行於 身側,雙手平行於 身側,Likely female,傾向女性,35-45 years,35~45歲,Linear enamel hypoplasia on the right maxillary canine.,上顎右犬齒可見線性琺瑯質發育不全,,,2020_curation_project,177-184
M34,L3d,Lower cultural layer,下文化層,E20°S,Side-lying,側身,Flexed,屈肢,Unknown,不詳,Indeterminate,無法判斷,2-3 years,2~3歲,No obvious pathological changes.,無明顯病理現象,,,2020_curation_project,185-190
M35,L3d,Lower cultural layer,下文化層,E48°S,Side-lying,側身,Flexed,屈肢,Both hands on abdomen,雙手置於腹部,Indeterminate,無法判斷,"Approximately 6  years, approximately",約 6 歲左右,No obvious pathological changes.,無明顯病理現象,,,prior_curation,4
M36,L3d,Lower cultural layer,下文化層,E16°S,Prone,俯身,Extended,直肢,Both arms flexed over the chest,雙手屈於胸前,Undetermined,不詳,16-18 years,16-18歲,Dental caries and calculus.,齲齒，牙結石,A large rimmed pottery sherd covered the head; this burial designation may contain remains from more than one individual.,頭部覆蓋 帶口緣的 大塊陶片; 此墓葬編號可能有 不同個體藏其中,2020_curation_project,191-200
M37,L3d,Lower cultural layer,下文化層,E10°S,Prone,俯身,Extended,直肢,左手平行於 身側，右手 收於腹部， 壓於肋骨之 下,左手平行於 身側，右手 收於腹部， 壓於肋骨之 下,Male,男性,40-45 years,40-45歲,Periodontal disease.,牙周病,,,prior_curation,4
M38,L3d,Lower cultural layer,下文化層,E20°S,Prone,俯身,Extended,直肢,右手置於腹部，左手平 行於身側,右手置於腹部，左手平 行於身側,Indeterminate,無法判斷,3.5-4.5 years,3.5~4.5歲,Cribra orbitalia.,眶頂篩孔狀病變,,,2020_curation_project,201-206
M39,L3e,Lower cultural layer,下文化層,E30°S,Prone,俯身,Unknown,不詳,Unknown,不詳,Indeterminate,無法判斷,4 years or younger,4歲以下,Slight cribra orbitalia on the medial right orbital roof; linear enamel hypoplasia.,頭骨：右眼眶內側可見少許眶頂篩 孔狀病變（cribra orbitalia）。 牙齒：LEH。,,,2020_curation_project,207-213
M40,L3e,Lower cultural layer,下文化層,E20°S,Prone,俯身,Unknown,不詳,Unknown,不詳,Probable female,疑似女性,40 years or older,40歲以上,"Marked osteoporosis of the cranium, with very thin cortical bone and severe cancellous bone loss; osteophyte on the left os coxa.",頭骨：較嚴重的骨質疏 鬆，皮質骨相當薄，海 綿骨流失嚴重。 左髖骨骨刺,Face-covering pottery.,覆面陶,2020_curation_project,214-219
M41,L3e,Lower cultural layer,下文化層,E30°S,Prone,俯身,Extended,直肢,Both hands on abdomen,雙手置於腹部,Indeterminate,無法判斷,14-18 years,14~18歲,No obvious pathological changes.,無明顯病理現象,Associated pottery jar.,有隨葬陶罐,2020_curation_project,220-224
M42-43,L3e,Lower cultural layer,下文化層,W20°N,Supine,仰身,Extended,直肢,雙手被取下 放置腿邊,雙手被取下 放置腿邊,Male,男性,23 years or younger,23歲以下,Lumbar spondylolisthesis; multiple vertebral nodules and depressions.,腰椎滑脫，脊椎多有結 節與壓痕,,,2020_curation_project,225-231
M44,L3f,Lower cultural layer,下文化層,E20°S,Side-lying,側身,Flexed,屈肢,Not recorded,,Female,女性,30-34 years,30~34歲,"Heavy dental calculus, alveolar abscesses, and some caries. The interosseous groove of the auricular surface has a sharp, rough margin interpreted as a possible pregnancy-related change.",牙齒多附著牙結石，且 有齒槽膿瘍與部分齲齒 的狀況; 髖骨耳狀面耳間溝 （interosseous groove） 邊緣鋒利粗糙，疑似為 妊娠痕跡,Pottery laid beneath the burial.,墓葬底部 有鋪陶,2020_curation_project,232-244
M46,L3e,Lower cultural layer,下文化層,E20°S,Supine,仰身,Extended,直肢,Unknown,不詳,Probable female,疑為女性,"20  years, approximately",20 歲左右,No obvious pathological changes.,無明顯病理現象,,,prior_curation,4
M47,L3f,Lower cultural layer,下文化層,E10°N,Supine,仰身,Extended,直肢,雙手上折呈 抱頭姿勢,雙手上折呈 抱頭姿勢,Indeterminate,無法判斷,"20 years, approximately",20歲左右,"Periodontal disease, malocclusion, and osteophytes.",牙周病；齒列不正及骨 贅,,,prior_curation,4
M48,L3d,Lower cultural layer,下文化層,x,Prone,俯身,Extended,直肢,Not recorded,,Indeterminate,無法判斷,Adult,成年,The few surviving teeth have dental calculus.,僅存的牙齒帶有牙結石,,,2020_curation_project,245-249
M49,L3e,Lower cultural layer,下文化層,x,Unknown,不詳,Unknown,不詳,Unknown,不詳,Indeterminate,無法判斷,Probable adult,疑似成年,No obvious pathological changes.,無明顯病理現象,,,2020_curation_project,250-253
M50,L3e,Lower cultural layer,下文化層,E40°S,Prone,俯身,Extended,直肢,Unknown,不詳,Indeterminate,無法判斷,5.5-6.5 years,5.5~6.5歲,Severe wear of the deciduous teeth.,乳齒磨耗嚴重,,,2020_curation_project,254-261
M52,L3f,Lower cultural layer,下文化層,E50°S,Prone,俯身,Extended,直肢,Both hands on abdomen,雙手置於腹部,Male,男性,"21  years, approximately",21 歲左右,Supernumerary tooth; malocclusion; slight osteophytes on thoracic vertebrae T7-T8; abnormal skeletal growth; severe wear of the right maxillary central incisor.,贅齒；齒列 不正 ； 第 7、8 胸椎有 輕微骨刺； 骨骼異常生長；右上正 門齒磨損嚴 重,Two pottery jars.,陶罐*2,prior_curation,4
M53,L3e,Lower cultural layer,下文化層,E40°S,Prone,俯身,Extended,直肢,Both hands behind the back,雙手後揹,Indeterminate,無法判斷,4.5-5.5 years,4.5~5.5歲,Linear enamel hypoplasia.,LEH,,,2020_curation_project,262-268
M54,L3e,Lower cultural layer,下文化層,E40°S,Supine,仰身,Extended,直肢,Both hands on abdomen,雙手置於腹部,Probable male,疑似男性,30-38 years,30~38歲,"An additional lumbar vertebra; healed cribra orbitalia; heavy dental calculus; minor alveolar abscessing; enamel hypoplasia on incisors, lateral incisors, and canines.",腰椎L1多一節 眶頂篩孔狀病變（已癒 合） 較多牙結石 少許齒槽膿腫 門齒、側門齒與犬齒有 琺瑯質發育不全,,,2020_curation_project,269-281
M55,L3f,Lower cultural layer,下文化層,X,Prone,俯身,Extended,直肢,Unknown,不詳,Indeterminate,無法判斷,4.5-5.5 years,4.5~5.5歲,No obvious pathological changes.,無明顯病理現象,,,2020_curation_project,282-288
M56,L3f,Lower cultural layer,下文化層,E20°S,Prone,俯身,Extended,直肢,Both hands on abdomen,雙手置於腹部,Probable female,疑似女性,24-35 years,24~35歲,Linear enamel hypoplasia and rolled alveolar margins.,LEH、齒槽捲緣,Possible face-covering pottery.,疑似有覆面陶,2020_curation_project,289-296
M57,L3g,Lower cultural layer,下文化層,E40°S,Supine,仰身,Extended,直肢,Both hands on abdomen,雙手置於腹部,Male,男性,40-45  years,40-45 歲,"Calcification at the end of the first rib; osteophytes on the ulna and vertebrae; eburnation in the right lower limb; lumbarization of S1, forming a sixth lumbar vertebra.",第一肋骨末端鈣化；尺骨與脊椎可 見骨刺；右下肢骨象牙質變性；第 一節薦椎發 展成第6節腰椎,One pottery jar.,陶罐*1,prior_curation,4
M58,L3b,Upper cultural layer,上文化層,E10°S,Prone,俯身,Unknown,不詳,Unknown,不詳,Unobservable,無法觀察,Adult,成年,Thoracic vertebral osteophytes and multilipped marginal proliferation of the lumbar vertebrae.,胸椎骨贅；腰椎多緣唇 狀增生,,,2020_curation_project,297-301
M59,L3d,Lower cultural layer,下文化層,E12°S,Prone,俯身,Extended,直肢,Both hands on abdomen,雙手置於腹部,Female,女性,25-35 years,25~35歲,Linear enamel hypoplasia; caries; dental calculus and rolled alveolar margins; Schmorl's nodes; marginal bone proliferation on the humeral head; possible inflammatory change on the humeral head surface.,線性琺瑯質發育不全； 齲齒；牙結石與齒槽捲 緣；薛門氏結節；肱骨 頭邊緣骨質增生；肱骨 頭骨表疑似發炎的現象,Pottery laid beneath the burial.,墓葬底部 鋪陶,2020_curation_project,302-314
M60,L3d,Lower cultural layer,下文化層,E20°S,Probably prone,疑俯身,Unknown,不詳,Unknown,不詳,Female,女性,"20 years, approximately",20歲左右,Malocclusion and enamel hypoplasia.,齒列不正與 琺瑯質發育不全,,,prior_curation,4
M61,L3d,Lower cultural layer,下文化層,E20°S,Prone,俯身,Extended,直肢,Both hands along the sides,雙手置於身側,Indeterminate,無法判斷,10 months-1.5 years,10個月~1.5歲,No obvious pathological changes.,無明顯病理現象,,,2020_curation_project,315-319
M63,L3e,Lower cultural layer,下文化層,E20°S,Prone,俯身,Extended,直肢,左手彎曲至 胸前,左手彎曲至 胸前,Female,女性,Young adult/adult,青/成年,No obvious pathological changes.,無明顯病理現象,Face-covering pottery.,覆臉陶,prior_curation,4
M65,L3e,Lower cultural layer,下文化層,E40°S,Supine,仰身,Extended,直肢,雙手平行身 體，左手收 於骨盆上， 右手壓於骨盆下,雙手平行身 體，左手收 於骨盆上， 右手壓於骨盆下,Female,女性,35-39 years,35-39歲,"Periodontal disease, including a distinctive wear pattern on the left mandibular canine.",牙周病(左下 顎犬齒之特 殊損耗模式),,,prior_curation,4
M66,L3e,Lower cultural layer,下文化層,E40°S,Prone,俯身,Extended,直肢,Both arms flexed over the chest,雙手屈於胸前,Undetermined,不詳,24-35 years,24-35歲,Peg-shaped upper-left third molar; enamel extensions on some mandibular molars; no marked roughness of the left tibial soleal line; a plane of bone proliferation at the left humeral coronoid fossa and superior trochlear margin; linear enamel hypoplasia on maxillary and mandibular incisors and canines.,ULM3為釘狀齒; 下顎 部分臼齒亦可見琺瑯質 延伸; 左側脛骨的比目魚肌腺 無明顯粗糙; 左側肱骨的冠狀窩與滑 車上緣有骨增生平面; 上下顎門齒與犬齒見線 性琺瑯質發育不全,"Large quantities of pottery sherds in the burial soil, interpreted as a possible pottery-lined burial.",墓土中出 土大量陶 片，疑似 為鋪陶葬,2020_curation_project,320-330
M67,L3f,Lower cultural layer,下文化層,E38°S,Prone,俯身,Extended,直肢,左手彎曲， 手掌部位延 伸至肩部,左手彎曲， 手掌部位延 伸至肩部,Male,男性,Probable adult,疑為成年,No pathology could be observed.,無可供觀察之病理現象,,,prior_curation,4
M68,L3d,Lower cultural layer,下文化層,E20°S,Prone,俯身,Unknown,不詳,Right hand beneath the cranium,右手壓在頭顱下方,Indeterminate,無法判斷,4-6 years,4-6歲,No pathology could be observed.,無可供觀察之病理現象,,,prior_curation,4
M69,L3e,Lower cultural layer,下文化層,E10°S,Prone,俯身,Unknown,不詳,Both hands above the head,雙手置於頭頂,Indeterminate,無法判斷,2-3 years,2~3歲,No obvious pathological changes.,無明顯病理現象,,,2020_curation_project,331-336
M70,L4,Lower cultural layer,下文化層,E20°S,Supine,仰身,Extended,直肢,Unknown,不詳,Probable female,疑似女性,20-25 years,20-25歲,No obvious pathological changes.,無明顯病理現象,,,2020_curation_project,337-342
